page,name,kcal,carbs_g,fat_g,protein_g,fiber_g,suspect
30,Calda de chocolate -Moça Fiesta,309.0,53.0,8.0,6.2,,False
30,Calda de chocolate meio amargo,264.0,62.8,0.9,1.2,,False
30,Calda de morango -Moça Fiesta,300.0,74.8,0.1,0.1,,False
30,Caldo de bacon -Maggi®,282.0,,7.8,7.8,,False
30,Caldo de cana,82.0,20.5,0.1,0.3,0.4,False
30,Caldo de carne -Maggi®,284.0,,4.2,8.3,,False
30,Caldo de galinha -Maggi®,285.0,,,9.0,,False
30,Camarão (cozido),99.0,0.0,1.09,20.9,0.0,False
30,Camarão (cru),106.0,0.91,1.74,20.3,0.0,False
30,Ca1narão frito com casca I,84.0,0.0,,,,False
30,I,8.8,0.0,0.0,4.5,0.61,False
30,Canela em pó,261.0,79.8,3.19,3.89,54.3,False
30,Canelone à bolonhesa -Nestlé®,168.0,,,8.2,,False
31,Cnnjicn,105.18,18.84,2.22,2.72,1.06,False
31,Capelete de carne -Frescarini®,282.0,51.1,3.1,12.3,,False
31,"Capelete de frango -Frescarini® 281 ,00",52.5,2.8,,11.4,,False
31,Capuccino em pó,427.97,43.93,19.07,20.9,0.45,False
31,Capuccino em pó dietético -Doce,289.2,48.4,0.74,24.8,,False
31,Caqui,78.0,20.0,0.4,0.8,1.9,False
31,Cará (cozido) I,16.0,27.6,0.14,1.5,3.9,False
31,Cará (cru),118.0,27.9,0.17,1.54,4.1,False
31,Carambola,33.0,7.84,0.35,0.54,2.7,False
31,Caranguejo (cru),87.0,0.0,1.05,,,False
31,"18, lO",0.0,0.0,0.0,29.03,0.0,False
31,Carne bovina assada (Patinho),270.97,0.47,17.55,25.99,0.08,False
31,Carne bovina gorda (crua)-PADRÃO,283.24,0.0,18.42,27.42,0.0,False
32,Carne bovina seca (charque),441.0,,29.0,42.0,,False
32,Carne moída (crua),1292.5,0.0,19.53,27.25,0.0,True
32,"Carne moída (refogada) 293, I I",0.86,20.83,2.76,24.09,0.13,False
32,Carpaccio de carne,287.35,0.79,19.77,25.33,0.08,False
32,Caruru,215.9,4.06,20.05,6.1,,False
32,Casquinha de siri,168.39,2.18,13.45,10.0,0.46,False
32,Castanha de caju torrada com sal,574.0,32.7,46.4,15.3,3.2,False
32,Castanha de caju torrada sem sal,574.0,32.7,46.4,15.3,3.02,False
32,Castanha do Pará sem sal,656.0,12.8,66.2,14.3,5.93,False
32,Castanha portuguesa,194.0,42.0,,2.9,1.1,False
32,Catchup molho industrializado,104.0,27.3,0.36,,,False
32,"I ,53",1.3,0.3,1.0,11.37,,False
32,Caviar,252.0,4.01,17.9,24.6,0.0,False
32,"Cebola I 38,oo",8.64,0.16,0.06,1.17,1.68,False
32,Cebolinha -Elma Chips®,436.0,76.7,11.2,7.3,,False
33,"I..' H '.<'iii 11.'/~ I :1.~ O,IHI",0.0,,,1.1,2.53,False
33,'cnonrll (crnll),43.0,10.1,0.19,1.04,2.6,False
33,Cereal de milho com açúcar,383.3,89.9,0.67,4.33,,False
33,Cereal infantil arroz com amido de,384.0,85.6,1.3,7.5,,False
33,Cereal infantil três cereais -Nestlé,421.0,67.6,9.2,16.9,,False
33,Cereal infantil três frutas- Nestlé,383.0,85.1,,7.4,,False
33,Cereal matinal Nescau -Nestlé®,390.0,86.3,3.2,4.2,1.7,False
33,Cereja fresca,72.0,16.6,0.96,1.21,1.7,False
33,Cerveja,41.0,3.7,0.0,0.3,0.2,False
33,Chá com limão-Lipton Ice Tea®,35.0,8.7,,0.1,,False
33,Chá com limão -Parmalat®,37.3,9.26,0.01,,,False
33,Chá com menta -Parmalat®,37.0,9.2,0.01,,,False
33,Chá com pêssego -Parmalat®,36.5,9.06,0.01,,,False
33,Chá em pó,256.0,,,,,False
33,"11,7()",3.7,,,,,False
34,Chá mate com açúcar (infusão),9.45,2.38,0.0,0.07,0.02,False
34,Chá mate sabor tangerina -Malte,38.7,9.57,0.03,0.04,,False
34,Chá preto sem açúcar (infusão),1.0,0.3,0.0,0.0,0.0,False
34,Champignon (cogumelo paris),25.0,4.66,0.42,2.1,1.3,False
34,Champignon em conserva (cogumelo,24.0,4.97,0.29,,,False
34,"I ,88",2.6,0.2,2.4,,,False
34,Chamyto -Nestlé®,75.0,16.6,0.12,,,False
34,Chandelle chocolate branco -Nestlé®,145.0,21.1,5.0,3.9,,False
34,Chandelle morango -Nestlé® I,37.0,2.0,,3.8,,False
34,"Chantibon para sorvete -Kibon® 33 I ,50",23.7,25.8,,1.1,,False
34,Chantili,369.36,,0.52,1.83,0.0,False
34,"Chectos -Elma Chips® 50 I ,00",68.3,22.0,,7.5,,False
34,Chcctos bola -Elma Chips®,497.0,68.2,22.0,6.6,,False
34,Cheetos tubo -Elma Chips®,494.0,68.0,22.0,6.0,,False
34,Cheseburguer-Me Donald's®,267.2,26.96,,12.93,,False
35,Chocolate Amaro -Lacta®,537.0,63.0,29.75,4.3,1.0,False
35,Chocolate ao leite -Lacta®,540.0,58.67,30.67,8.0,0.33,False
35,Chocolate ao leite-Nestlé®,568.0,54.6,35.8,6.9,,False
35,Chocolate ao leite para cobertura,568.0,54.6,35.8,6.9,,False
35,Chocolate Bis -Lacta®,506.5,63.65,23.99,8.24,,False
35,Chocolate Chargc -Nesllé®,539.0,58.2,30.2,8.7,,False
35,Chocolate Chockito -Nesllé®,440.6,73.75,14.06,5.0,,False
35,Chocolate com leite -Nesllé®,533.0,60.3,29.7,6.2,,False
35,Chocolate com leite e avelãs -Nesllé®,571.1,51.0,36.61,9.5,,False
35,Chocolate com leite e castanha de,546.1,54.17,32.5,9.22,,False
35,"Chocolate com leite, caju e passas ao",537.2,59.0,,8.1,,False
35,Chocolate Crunch -Nestlé®,530.0,58.9,27.8,6.7,,False
