page,name,kcal,carbs_g,fat_g,protein_g,fiber_g,suspect,taco_match,taco_similarity
45,Doce de abóbora -bar,406.0,73.8,12.3,4.4,0.3,False,"Doce, de abóbora, cremoso",0.5
45,Doce de batata doce -bar,406.0,73.8,12.3,4.4,,False,"Batata, doce, cozida",0.5
46,Ervilha seca (cozida),81.0,14.42,0.47,5.32,1.11,False,"Carne, bovina, seca, cozida",0.4
47,Espinafre (cru),22.0,3.51,0.35,2.87,2.7,False,"Espinafre, Nova Zelândia, cru",0.5
47,Estrogonofe de carne bovina molho de,134.5,,7.7,,,False,Estrogonofe de carne,0.5
48,Farinha de trigo especial-Dona Benta®,357.0,77.0,1.0,10.0,,False,"Farinha, de trigo",0.4
48,Farinha de trigo especial -Sol®,346.0,74.0,1.0,10.0,,False,"Farinha, de trigo",0.5
48,Farinha enriquecida -Ccrelac®,470.0,68.5,9.0,15.5,2.0,False,"Farinha, de arroz, enriquecida",0.5
48,Farinha láctea -Nestlé®,416.0,73.6,7.5,13.6,,False,"Farinha, láctea, de cereais",0.5
49,Feijão branco (cozido),142.0,25.8,0.64,8.98,7.88,False,"Feijão, carioca, cozido",0.5
49,Feijão branco (cru),336.0,62.3,1.19,21.1,18.9,False,"Feijão, broto, cru",0.5
49,Feijão cozido (só caldo),11.1,1.51,0.29,0.61,0.76,False,"Feijão, carioca, cozido",0.4
49,Feijão cozido (só grãos),111.0,15.1,2.91,6.08,7.65,False,"Feijão, carioca, cozido",0.4
49,Feijão cru tipo 1 -Camil®,337.0,60.8,1.6,22.0,4.3,False,"Arroz, tipo 1, cru",0.4
50,Fermento biológico,53.0,1.1,0.4,11.4,0.0,False,"Fermento, biológico, levedura, tablete",0.5
50,Fermento biológico -Fleischmann®,126.9,,,19.2,,False,"Fermento, biológico, levedura, tablete",0.4
50,Fermento biológico seco,346.0,30.2,1.7,,,False,"Fermento, biológico, levedura, tablete",0.4
50,Fígado bovino (cru),216.78,7.85,8.0,26.67,0.0,False,"Frango, fígado, cru",0.5
50,Fígado bovino frito,226.89,7.97,9.73,25.43,0.03,False,"Hambúrguer, bovino, frito",0.5
