page,name,kcal,carbs_g,fat_g,protein_g,fiber_g,suspect,taco_match,taco_similarity
25,Bolo de baunilha -Royal®*,341.7,51.33,13.7,6.33,,False,Bolo sem glúten,0.25
25,Bolo de baunilha -Sol®*,265.0,36.03,10.02,7.54,,False,Bolo sem glúten,0.25
26,Bolo de baunilha recheado com doce de,340.0,55.83,,,,False,"Biscoito, doce, recheado com chocolate",0.333
26,Bolo de cenoura com cobertura de,372.65,50.51,17.83,,,False,"Cenoura, cozida",0.25
26,Bolo de festa -Sol®*,265.0,36.03,10.02,7.54,,False,Bolo sem glúten,0.25
26,Bolo de festa (recheio de pêssego e,320.14,53.65,10.12,,,False,Bolo sem glúten,0.2
27,"4:;,.1I K 0,25H O, I IJ2",0.265,0.101,,4.94,,False,,0.0
27,"II<IIU de l'ubú-Sndltt®'""",311.9,34.34,15.89,8.02,,False,,0.0
27,Bolo de laranja -Oetker®*,397.7,36.29,23.46,8.67,,False,Bolo sem glúten,0.25
27,Bolo de laranja -Royal®*,341.7,51.33,13.7,6.33,,False,Bolo sem glúten,0.25
27,Bolo de laranja Pullman®,372.0,61.0,0.7,6.35,,False,Bolo sem glúten,0.25
27,Bolo de maçã e canela -Royal®*,350.8,48.92,16.0,5.85,,False,Bolo sem glúten,0.2
27,"Bolo de milho -Oetker®* 371, 30",31.69,23.36,,7.49,,False,"Bolo, pronto, milho",0.333
27,"Bolo de milho -Royal®* 341 ,60 5 I ,00",13.7,,,6.67,,False,"Bolo, pronto, milho",0.222
27,Bolo doce de abobrinha,330.45,45.84,14.93,4.53,1.79,False,"Polvilho, doce",0.25
27,Bomba de chocolate,156.43,13.1,,4.04,0.58,False,"Bolo, pronto, chocolate",0.25
27,Bombom Amandita carinho-Lacta®,535.7,64.28,28.57,5.36,,False,,0.0
27,Bombom Bowling-Lacta®,534.9,59.53,29.3,8.37,0.46,False,,0.0
27,Bombom Chockito-Nestlé®,442.0,73.7,14.1,5.0,,False,,0.0
28,Bombom Chomp -Nestlé®,523.0,57.64,28.82,7.64,,False,,0.0
28,Bombom Crocante -Lacta®,530.0,62.0,28.0,8.0,,False,,0.0
28,Bombom Fricote -Lacta®,480.0,64.67,23.33,4.0,0.66,False,,0.0
28,Bombom Hawaí -Nestlé®,436.0,74.3,13.5,4.3,,False,,0.0
28,Bombom Lord -Lacta®,440.0,74.0,14.0,4.0,,False,,0.0
28,"Bombom Noblesse -Nestlé® 561 ,00",54.4,34.9,,7.3,,False,,0.0
28,Bombom Ouro Branco -Lacta®,530.2,59.07,28.84,8.84,0.46,False,"Repolho, branco, cru",0.167
28,Bombom Sedução -Nestlé®,550.0,55.5,33.5,6.0,,False,,0.0
28,Bombom Sonho de Valsa-Lacta®,534.9,61.86,28.84,6.98,0.46,False,,0.0
28,Brigadeirão,298.77,35.03,15.95,6.3,0.66,False,,0.0
28,Brigadeiro,362.5,55.91,13.77,7.1,0.95,False,,0.0
28,Brigadeiro -Moça Fiesta Nestlé®,336.0,52.6,10.5,7.8,,False,,0.0
29,"(),()()",0.0,15.15,9.09,3.94,2.42,False,,0.0
29,Buchada de bode,129.07,4.85,7.66,9.79,0.33,False,,0.0
29,Cacau em pó -Garoto®,406.0,51.7,11.0,25.0,21.7,False,"Cacau, cru",0.25
29,Cachorro quente completo (I salsicha),301.83,20.57,21.63,7.46,1.49,False,,0.0
29,Cachorro quente completo (2 salsichas),304.1,,18.38,7.93,1.3,False,,0.0
29,"Café instantâneo em pó 1241, 00 41, lO",0.5,0.2,0.04,12.2,0.0,False,"Café, pó, torrado",0.25
29,Café solúvel granulado -Nescafé,199.0,35.3,0.2,,,False,"Café, infusão 10%",0.167
29,Caipirinha,218.15,26.93,0.09,0.33,0.83,False,,0.0
29,Caju I,46.0,11.6,0.2,0.8,1.5,False,"Caju, cru",0.333
30,Cajuzinho -Moça Fiesta Nestlé®,364.0,47.6,15.0,9.7,,False,,0.0
30,Calda de caramelo -Moça Fiesta 3 I,4.0,73.7,1.5,,,False,"Ameixa, calda, enlatada",0.125
30,Calda de chocolate -Moça Fiesta,309.0,53.0,8.0,,,False,"Bolo, pronto, chocolate",0.167
30,Calda de morango -Moça Fiesta,300.0,74.8,0.1,,,False,"Morango, cru",0.2
30,Caldo de bacon -Maggi®,282.0,,7.8,7.8,,False,"Cana, caldo de",0.25
30,Ca1narão frito com casca I,84.0,0.0,,8.8,0.0,False,"Camarão, Sete Barbas, sem cabeça, com casca, frito",0.25
30,Camarão na n1oranga,50.64,4.42,1.81,4.5,0.61,False,Camarão à baiana,0.25
30,Canela em pó,261.0,79.8,3.19,3.89,54.3,False,"Achocolatado, pó",0.333
